neighbourhood_cleansed,room_type,crime_count,price,number_of_reviews,review_scores_rating 
Albany Park,Entire home/apt,31,115.0,73,4.93
Avondale,Entire home/apt,37,84.0,204,4.86
North Park,Entire home/apt,19,107.0,39,4.95
West Town,Entire home/apt,84,137.0,74,4.82
West Town,Entire home/apt,50,130.0,225,4.96
Near North Side,Entire home/apt,54,142.0,0,
Near North Side,Entire home/apt,54,149.0,0,
Near North Side,Entire home/apt,54,134.0,0,
Near North Side,Private room,43,84.0,806,4.47
Near North Side,Private room,43,100.0,101,4.47
Near North Side,Private room,43,108.0,334,4.51
Near North Side,Private room,43,108.0,2,4.0
Armour Square,Entire home/apt,72,386.0,53,4.85
Loop,Entire home/apt,61,217.0,228,4.77
Lake View,Entire home/apt,17,149.0,130,4.95
Loop,Entire home/apt,60,189.0,207,4.77
New City,Private room,216,34.0,22,4.18
Lake View,Entire home/apt,20,532.0,99,4.84
Logan Square,Entire home/apt,46,180.0,1,5.0
Edgewater,Entire home/apt,11,81.0,7,5.0
Loop,Entire home/apt,59,447.0,57,4.63
Uptown,Entire home/apt,17,414.0,112,4.97
Lincoln Park,Entire home/apt,31,382.0,55,5.0
Logan Square,Entire home/apt,42,10.0,167,4.76
Irving Park,Entire home/apt,37,175.0,16,4.94
Chatham,Entire home/apt,202,200.0,30,4.6
West Town,Entire home/apt,39,165.0,20,5.0
Near West Side,Entire home/apt,67,198.0,253,4.99
New City,Entire home/apt,216,36.0,38,4.08
Lake View,Entire home/apt,9,220.0,1,5.0
Greater Grand Crossing,Entire home/apt,257,270.0,2,4.5
Lincoln Square,Entire home/apt,16,114.0,201,4.76
Portage Park,Entire home/apt,24,72.0,154,4.88
Douglas,Entire home/apt,83,118.0,107,4.93
Near North Side,Private room,55,49.0,150,4.77
Near North Side,Entire home/apt,43,100.0,3,5.0
Loop,Entire home/apt,48,125.0,191,4.68
Bridgeport,Entire home/apt,32,80.0,81,4.9
Near North Side,Entire home/apt,53,165.0,0,
Grand Boulevard,Entire home/apt,109,115.0,72,4.82
Grand Boulevard,Entire home/apt,107,98.0,31,4.74
Near West Side,Entire home/apt,164,85.0,6,4.83
Near North Side,Entire home/apt,54,138.0,0,
Logan Square,Entire home/apt,50,315.0,141,4.95
Near North Side,Entire home/apt,52,164.0,1,5.0
Loop,Entire home/apt,52,139.0,218,4.79
Loop,Entire home/apt,47,175.0,197,4.63
Loop,Entire home/apt,51,127.0,204,4.75
South Lawndale,Entire home/apt,232,155.0,14,4.93
South Shore,Entire home/apt,193,383.0,76,4.72
Near North Side,Entire home/apt,54,95.0,7,4.86
Lake View,Private room,8,64.0,38,5.0
Near West Side,Entire home/apt,56,367.0,214,4.95
Lower West Side,Entire home/apt,73,300.0,81,4.9
Rogers Park,Entire home/apt,44,175.0,114,4.96
East Garfield Park,Private room,392,39.0,196,4.8
Near North Side,Entire home/apt,58,120.0,1,5.0
Edgewater,Entire home/apt,12,77.0,38,4.71
Avondale,Entire home/apt,40,289.0,90,4.98
Lincoln Park,Entire home/apt,24,136.0,202,4.97
Logan Square,Entire home/apt,36,189.0,34,4.76
North Center,Entire home/apt,16,149.0,48,5.0
West Town,Entire home/apt,45,215.0,120,4.85
Lake View,Entire home/apt,9,100.0,7,4.71
Lake View,Entire home/apt,8,100.0,9,5.0
Woodlawn,Private room,134,49.0,22,4.86
Lake View,Entire home/apt,9,250.0,131,4.4
Jefferson Park,Private room,2,83.0,3,5.0
North Center,Entire home/apt,13,143.0,1,5.0
Douglas,Entire home/apt,79,232.0,106,4.77
Loop,Entire home/apt,57,400.0,0,
Calumet Heights,Entire home/apt,92,95.0,19,4.63
Loop,Entire home/apt,48,135.0,168,4.73
Belmont Cragin,Private room,40,106.0,7,4.29
Near North Side,Entire home/apt,43,97.0,2,3.5
West Town,Private room,42,93.0,80,4.8
South Deering,Private room,35,39.0,27,5.0
Washington Park,Private room,153,45.0,7,4.14
Washington Park,Private room,150,45.0,52,4.71
Norwood Park,Entire home/apt,1,81.0,229,4.93
Loop,Entire home/apt,48,164.0,174,4.59
Austin,Entire home/apt,268,228.0,43,4.86
Near North Side,Entire home/apt,37,75.0,6,4.0
North Center,Entire home/apt,16,102.0,209,4.85
Austin,Private room,233,75.0,12,4.83
Lake View,Entire home/apt,11,1250.0,41,5.0
West Town,Private room,42,87.0,63,4.78
Pullman,Entire home/apt,108,179.0,87,4.94
West Ridge,Entire home/apt,36,486.0,12,4.75
Lake View,Entire home/apt,17,197.0,187,4.97
Near North Side,Entire home/apt,54,99.0,9,4.56
Jefferson Park,Entire home/apt,11,69.0,35,4.97
Near North Side,Entire home/apt,54,115.0,2,5.0
Near North Side,Entire home/apt,54,294.0,8,5.0
Portage Park,Private room,8,66.0,6,4.33
Logan Square,Entire home/apt,34,209.0,104,4.97
Lower West Side,Entire home/apt,66,75.0,202,4.85
North Center,Entire home/apt,17,121.0,142,4.92
Washington Park,Private room,146,39.0,17,4.88
South Chicago,Private room,178,35.0,0,
West Town,Entire home/apt,26,196.0,159,4.97
Irving Park,Private room,32,65.0,11,5.0
Irving Park,Private room,31,65.0,13,5.0
Mckinley Park,Entire home/apt,55,81.0,241,4.8
Englewood,Shared room,247,25.0,6,4.33
West Englewood,Shared room,249,25.0,4,4.5
West Englewood,Shared room,248,35.0,7,4.57
Near North Side,Entire home/apt,52,168.0,1,5.0
Near North Side,Entire home/apt,52,114.0,1,2.0
Near North Side,Entire home/apt,52,140.0,3,4.67
Near North Side,Entire home/apt,52,168.0,3,5.0
Near North Side,Entire home/apt,52,136.0,3,5.0
Uptown,Entire home/apt,20,125.0,0,
Lake View,Entire home/apt,9,110.0,1,5.0
Lake View,Entire home/apt,9,110.0,5,4.6
Jefferson Park,Entire home/apt,4,65.0,166,4.67
North Center,Entire home/apt,19,300.0,2,5.0
Jefferson Park,Entire home/apt,6,80.0,4,4.5
Woodlawn,Entire home/apt,166,99.0,54,4.59
West Town,Entire home/apt,41,132.0,159,4.82
Lincoln Park,Entire home/apt,16,235.0,195,4.96
Lake View,Entire home/apt,19,164.0,276,5.0
Portage Park,Entire home/apt,31,360.0,0,
Albany Park,Entire home/apt,33,372.0,109,4.87
Near North Side,Entire home/apt,53,175.0,3,5.0
West Town,Entire home/apt,62,145.0,81,4.78
Lake View,Entire home/apt,8,115.0,6,4.5
Edgewater,Entire home/apt,10,91.0,118,4.86
West Town,Entire home/apt,76,100.0,95,4.79
South Deering,Entire home/apt,26,165.0,6,4.67
Jefferson Park,Entire home/apt,4,61.0,244,4.65
Lake View,Entire home/apt,20,168.0,271,4.99
Lake View,Entire home/apt,19,121.0,266,4.98
Avondale,Entire home/apt,36,100.0,67,4.97
Morgan Park,Entire home/apt,35,110.0,59,4.75
Near North Side,Entire home/apt,43,120.0,3,4.67
Logan Square,Entire home/apt,41,125.0,7,5.0
Near West Side,Entire home/apt,108,84.0,20,4.55
Near West Side,Entire home/apt,108,329.0,12,4.92
West Ridge,Entire home/apt,31,228.0,175,4.85
West Ridge,Entire home/apt,20,205.0,94,4.99
Greater Grand Crossing,Shared room,221,218.0,13,5.0
Near North Side,Entire home/apt,54,95.0,10,4.0
South Shore,Entire home/apt,130,213.0,100,4.95
Bridgeport,Entire home/apt,30,600.0,120,4.73
Edgewater,Entire home/apt,20,134.0,221,4.98
South Shore,Private room,224,19.0,18,4.61
Near North Side,Private room,51,45.0,72,4.74
Lake View,Private room,9,99.0,105,4.88
Logan Square,Entire home/apt,62,79.0,124,4.71
Dunning,Entire home/apt,25,107.0,21,4.95
Near West Side,Entire home/apt,166,98.0,14,4.86
Lake View,Entire home/apt,9,140.0,1,5.0
Lake View,Entire home/apt,9,263.0,36,4.94
Lake View,Entire home/apt,8,329.0,64,4.94
West Town,Entire home/apt,74,106.0,130,4.68
Douglas,Private room,64,55.0,102,4.75
Lincoln Park,Entire home/apt,18,59.0,254,4.83
South Shore,Private room,237,26.0,20,4.9
Lake View,Entire home/apt,9,113.0,3,4.67
Edgewater,Entire home/apt,17,107.0,109,4.78
Humboldt Park,Private room,370,49.0,8,4.88
South Shore,Private room,204,35.0,26,4.15
Woodlawn,Entire home/apt,164,98.0,50,4.62
South Shore,Entire home/apt,141,121.0,56,4.64
Lincoln Park,Entire home/apt,7,59.0,218,4.81
Logan Square,Entire home/apt,39,120.0,168,4.67
Lake View,Private room,10,70.0,69,4.83
Hermosa,Entire home/apt,71,69.0,223,4.74
Lake View,Entire home/apt,8,132.0,470,4.96
Humboldt Park,Private room,354,45.0,7,4.71
Irving Park,Entire home/apt,38,90.0,91,4.96
Loop,Entire home/apt,56,122.0,1,5.0
Greater Grand Crossing,Private room,206,33.0,52,4.65
West Ridge,Entire home/apt,23,90.0,67,4.69
Grand Boulevard,Entire home/apt,120,140.0,27,4.67
Lake View,Entire home/apt,9,100.0,0,
Logan Square,Entire home/apt,50,588.0,49,4.96
Lake View,Entire home/apt,16,295.0,56,4.71
New City,Private room,212,32.0,15,4.33
Englewood,Entire home/apt,244,179.0,129,4.57
Loop,Entire home/apt,51,101.0,2,3.5
Rogers Park,Entire home/apt,29,159.0,149,4.93
Rogers Park,Entire home/apt,30,163.0,114,4.88
Washington Park,Private room,151,35.0,18,4.89
Lower West Side,Entire home/apt,67,385.0,44,4.91
Loop,Entire home/apt,51,104.0,4,5.0
Bridgeport,Private room,35,64.0,190,4.88
Near North Side,Private room,48,85.0,84,4.69
Lincoln Park,Entire home/apt,11,89.0,24,4.71
Portage Park,Entire home/apt,12,125.0,64,4.92
Rogers Park,Private room,32,114.0,41,4.98
Near North Side,Entire home/apt,39,294.0,52,4.92
Grand Boulevard,Entire home/apt,98,175.0,49,4.96
Loop,Entire home/apt,51,103.0,3,5.0
Logan Square,Entire home/apt,40,295.0,107,4.91
Mckinley Park,Entire home/apt,46,119.0,156,4.57
Jefferson Park,Entire home/apt,8,114.0,107,4.83
Grand Boulevard,Entire home/apt,125,126.0,13,4.77
South Lawndale,Entire home/apt,197,105.0,89,4.56
West Town,Entire home/apt,46,328.0,23,5.0
Loop,Entire home/apt,51,102.0,0,
Loop,Entire home/apt,51,76.0,0,
Lake View,Entire home/apt,6,113.0,2,5.0
Lake View,Entire home/apt,6,144.0,0,
Near West Side,Entire home/apt,45,107.0,1,4.0
Loop,Entire home/apt,51,77.0,1,1.0
Near West Side,Entire home/apt,45,143.0,0,
West Town,Entire home/apt,40,249.0,14,5.0
Edgewater,Private room,12,150.0,74,5.0
Edgewater,Private room,14,399.0,2,5.0
Avondale,Entire home/apt,41,97.0,97,4.93
Lake View,Private room,10,106.0,29,4.83
Lincoln Park,Entire home/apt,12,60.0,201,4.78
Greater Grand Crossing,Entire home/apt,230,320.0,0,
Near North Side,Entire home/apt,59,306.0,138,4.91
Near North Side,Entire home/apt,47,128.0,1,5.0
Loop,Entire home/apt,59,125.0,0,
Loop,Entire home/apt,59,124.0,0,
Near North Side,Entire home/apt,47,173.0,0,
Avondale,Entire home/apt,29,144.0,84,4.98
Near North Side,Entire home/apt,38,299.0,10,4.8
Near North Side,Entire home/apt,46,212.0,62,4.65
Near North Side,Entire home/apt,46,191.0,13,4.85
Near North Side,Entire home/apt,46,518.0,144,4.87
Near West Side,Entire home/apt,48,349.0,230,4.99
Near North Side,Entire home/apt,46,235.0,27,4.63
Near North Side,Entire home/apt,46,356.0,11,4.64
South Chicago,Private room,114,20.0,12,4.25
Near North Side,Entire home/apt,54,75.0,2,5.0
Woodlawn,Private room,141,52.0,13,4.31
Woodlawn,Entire home/apt,146,99.0,51,4.51
Loop,Entire home/apt,64,180.0,1,1.0
Loop,Entire home/apt,64,122.0,1,5.0
Woodlawn,Private room,136,61.0,10,4.4
Loop,Entire home/apt,51,104.0,3,5.0
Near North Side,Entire home/apt,51,95.0,1,3.0
Loop,Entire home/apt,64,103.0,6,4.17
Loop,Entire home/apt,64,123.0,0,
Loop,Entire home/apt,59,124.0,1,5.0
Grand Boulevard,Entire home/apt,117,194.0,140,4.99
Loop,Entire home/apt,64,135.0,2,3.0
South Shore,Entire home/apt,215,36.0,27,4.81
Loop,Entire home/apt,64,99.0,0,
Grand Boulevard,Entire home/apt,106,124.0,92,4.79
Near North Side,Entire home/apt,46,850.0,0,
West Town,Entire home/apt,52,350.0,3,5.0
Woodlawn,Private room,149,44.0,33,4.64
Near North Side,Entire home/apt,45,156.0,0,
Loop,Entire home/apt,64,122.0,2,3.0
Loop,Entire home/apt,64,129.0,0,
Bridgeport,Entire home/apt,24,10.0,12,4.92
Bridgeport,Entire home/apt,28,66.0,11,5.0
Bridgeport,Entire home/apt,26,103.0,16,5.0
Woodlawn,Private room,149,45.0,19,4.84
Bridgeport,Entire home/apt,28,83.0,13,5.0
Bridgeport,Entire home/apt,24,75.0,15,5.0
Bridgeport,Entire home/apt,22,83.0,20,4.85
Loop,Entire home/apt,64,103.0,4,5.0
Loop,Entire home/apt,64,122.0,3,5.0
Loop,Entire home/apt,64,123.0,0,
Near West Side,Entire home/apt,45,103.0,1,5.0
Loop,Entire home/apt,59,112.0,1,5.0
Woodlawn,Private room,140,90.0,13,3.77
South Chicago,Private room,93,19.0,26,4.92
Portage Park,Entire home/apt,22,195.0,11,4.91
West Town,Entire home/apt,42,221.0,54,4.87
Loop,Entire home/apt,64,103.0,3,5.0
Loop,Entire home/apt,64,124.0,1,3.0
Loop,Entire home/apt,59,125.0,1,5.0
Loop,Hotel room,60,133.0,46,4.83
Loop,Hotel room,58,143.0,25,4.2
Loop,Entire home/apt,64,95.0,4,4.5
Irving Park,Entire home/apt,39,61.0,47,4.85
Near South Side,Entire home/apt,59,300.0,10,4.5
Hermosa,Entire home/apt,82,111.0,43,4.81
Loop,Entire home/apt,64,182.0,0,
Loop,Entire home/apt,64,103.0,2,4.5
Loop,Entire home/apt,64,82.0,0,
Lake View,Entire home/apt,19,65.0,95,4.87
Hyde Park,Entire home/apt,84,97.0,170,4.83
West Town,Entire home/apt,59,363.0,81,4.53
Grand Boulevard,Entire home/apt,117,65.0,276,4.86
Loop,Entire home/apt,52,126.0,5,4.8
Loop,Entire home/apt,64,123.0,0,
Avondale,Entire home/apt,29,127.0,200,4.98
Near West Side,Entire home/apt,118,60.0,321,4.87
Logan Square,Entire home/apt,40,75.0,168,4.89
Lake View,Private room,9,129.0,73,4.78
Loop,Entire home/apt,59,117.0,3,4.67
Grand Boulevard,Entire home/apt,96,105.0,143,4.85
Near North Side,Entire home/apt,45,78.0,204,4.7
Logan Square,Entire home/apt,44,98.0,181,4.88
Near North Side,Entire home/apt,40,79.0,142,4.68
Near West Side,Entire home/apt,81,300.0,11,4.64
Grand Boulevard,Entire home/apt,108,264.0,153,4.88
South Chicago,Private room,104,24.0,19,4.42
Bridgeport,Entire home/apt,30,10.0,13,4.85
Bridgeport,Entire home/apt,26,80.0,14,4.79
Austin,Entire home/apt,353,138.0,161,4.66
South Chicago,Private room,116,25.0,18,4.94
Loop,Entire home/apt,59,123.0,1,5.0
Loop,Entire home/apt,59,125.0,0,
Loop,Entire home/apt,64,121.0,1,5.0
Near West Side,Entire home/apt,45,104.0,3,4.33
Near West Side,Entire home/apt,45,214.0,0,
Loop,Entire home/apt,64,102.0,3,4.67
Near North Side,Entire home/apt,43,89.0,2,5.0
West Town,Entire home/apt,43,119.0,164,4.85
Loop,Entire home/apt,60,102.0,2,3.5
Loop,Entire home/apt,64,122.0,0,
Loop,Entire home/apt,64,103.0,2,3.0
Loop,Entire home/apt,64,149.0,0,
Near North Side,Entire home/apt,52,139.0,1,5.0
Bridgeport,Entire home/apt,42,95.0,111,4.96
North Center,Entire home/apt,17,145.0,57,5.0
Lincoln Park,Entire home/apt,6,142.0,61,4.8
Loop,Entire home/apt,64,129.0,2,4.5
West Town,Private room,39,170.0,11,5.0
West Town,Private room,39,170.0,1,5.0
West Town,Private room,40,190.0,2,5.0
West Town,Private room,40,240.0,1,5.0
West Town,Private room,40,180.0,1,4.0
South Shore,Entire home/apt,130,447.0,49,4.94
Edgewater,Entire home/apt,10,440.0,115,4.99
West Town,Entire home/apt,42,173.0,237,4.82
Kenwood,Entire home/apt,70,130.0,20,4.65
Loop,Entire home/apt,64,122.0,0,
Near West Side,Entire home/apt,45,104.0,0,
Near North Side,Entire home/apt,52,141.0,3,5.0
Auburn Gresham,Entire home/apt,178,109.0,17,4.88
Lower West Side,Entire home/apt,65,41.0,278,4.84
South Shore,Private room,148,56.0,10,4.5
Near West Side,Entire home/apt,45,121.0,0,
Near West Side,Entire home/apt,45,108.0,1,5.0
Loop,Entire home/apt,64,122.0,2,4.0
Near West Side,Entire home/apt,45,124.0,0,
Loop,Entire home/apt,64,102.0,2,1.5
Near West Side,Entire home/apt,45,108.0,0,
Albany Park,Entire home/apt,33,69.0,52,4.79
Loop,Entire home/apt,64,122.0,1,1.0
Humboldt Park,Entire home/apt,201,140.0,19,4.84
Near West Side,Entire home/apt,45,124.0,3,4.67
Lincoln Park,Entire home/apt,18,200.0,21,4.14
Near West Side,Entire home/apt,45,125.0,2,5.0
Humboldt Park,Entire home/apt,173,135.0,81,4.79
South Shore,Private room,227,28.0,25,4.92
Loop,Entire home/apt,64,182.0,1,5.0
Loop,Entire home/apt,64,95.0,4,3.75
Near West Side,Entire home/apt,45,111.0,0,
Near West Side,Entire home/apt,45,125.0,1,5.0
Near North Side,Entire home/apt,43,89.0,0,
Loop,Entire home/apt,59,137.0,0,
Loop,Entire home/apt,64,123.0,0,
Logan Square,Entire home/apt,53,140.0,158,4.92
Near West Side,Entire home/apt,45,111.0,0,
Logan Square,Entire home/apt,59,116.0,142,4.92
Logan Square,Entire home/apt,50,105.0,167,4.93
Logan Square,Entire home/apt,49,133.0,118,4.9
Logan Square,Entire home/apt,48,94.0,165,4.87
Logan Square,Entire home/apt,48,86.0,165,4.9
Uptown,Entire home/apt,18,261.0,159,4.94
Uptown,Entire home/apt,18,209.0,173,4.97
Lincoln Park,Entire home/apt,10,273.0,125,4.99
Near West Side,Entire home/apt,45,126.0,0,
Near West Side,Entire home/apt,45,125.0,0,
Near West Side,Entire home/apt,45,125.0,1,5.0
South Shore,Private room,224,34.0,31,4.74
Woodlawn,Private room,136,45.0,3,5.0
East Garfield Park,Private room,323,40.0,11,4.27
East Garfield Park,Private room,315,55.0,10,4.4
East Garfield Park,Private room,340,50.0,8,4.63
East Garfield Park,Private room,350,60.0,17,4.12
Near West Side,Entire home/apt,45,123.0,0,
Lincoln Park,Entire home/apt,26,174.0,0,
Near West Side,Entire home/apt,45,125.0,1,5.0
Near North Side,Entire home/apt,43,106.0,0,
North Lawndale,Entire home/apt,286,242.0,82,4.91
North Center,Entire home/apt,16,102.0,122,4.75
Logan Square,Entire home/apt,25,177.0,114,4.96
West Garfield Park,Private room,428,42.0,32,4.84
Lincoln Park,Entire home/apt,18,169.0,276,4.82
Near North Side,Entire home/apt,43,280.0,180,4.88
East Garfield Park,Private room,431,36.0,52,4.81
Logan Square,Entire home/apt,72,101.0,156,4.85
Lincoln Park,Entire home/apt,7,201.0,64,4.91
North Center,Entire home/apt,14,271.0,260,4.93
East Garfield Park,Entire home/apt,195,54.0,312,4.83
Logan Square,Entire home/apt,24,165.0,0,
Lincoln Park,Entire home/apt,6,163.0,123,4.76
Lincoln Park,Entire home/apt,6,121.0,44,4.89
Lincoln Park,Entire home/apt,6,195.0,39,4.82
Norwood Park,Private room,2,35.0,44,4.93
Logan Square,Entire home/apt,55,121.0,121,4.98
Dunning,Entire home/apt,3,65.0,139,4.98
Bridgeport,Entire home/apt,33,55.0,7,5.0
Lincoln Park,Entire home/apt,6,112.0,50,4.88
West Town,Entire home/apt,45,144.0,2,5.0
West Town,Entire home/apt,47,62.0,108,4.69
East Garfield Park,Private room,424,41.0,84,4.79
Near West Side,Entire home/apt,140,159.0,119,4.79
Kenwood,Private room,83,52.0,112,4.84
East Garfield Park,Private room,431,31.0,25,4.8
Kenwood,Private room,83,52.0,91,4.88
Kenwood,Private room,78,38.0,130,4.76
Ohare,Entire home/apt,1,85.0,44,4.68
Irving Park,Private room,33,46.0,42,4.62
Near North Side,Entire home/apt,45,102.0,15,5.0
Edgewater,Entire home/apt,10,135.0,26,4.0
North Center,Entire home/apt,15,147.0,141,4.89
Lake View,Entire home/apt,12,177.0,90,4.7
Greater Grand Crossing,Entire home/apt,224,73.0,3,4.67
Lower West Side,Entire home/apt,71,118.0,133,4.92
West Town,Entire home/apt,150,129.0,207,4.96
Rogers Park,Entire home/apt,21,125.0,122,4.87
Lincoln Square,Entire home/apt,17,115.0,9,4.56
Lake View,Entire home/apt,11,121.0,11,5.0
Lake View,Entire home/apt,11,82.0,59,4.86
Belmont Cragin,Entire home/apt,56,58.0,10,4.5
Lincoln Park,Entire home/apt,6,165.0,33,4.88
North Park,Entire home/apt,21,451.0,124,4.94
South Shore,Entire home/apt,175,225.0,120,4.7
Lincoln Park,Entire home/apt,6,181.0,26,4.81
Edgewater,Entire home/apt,10,135.0,32,4.34
Calumet Heights,Entire home/apt,87,95.0,12,4.58
North Center,Entire home/apt,15,199.0,20,5.0
East Garfield Park,Private room,315,80.0,8,4.63
Near North Side,Entire home/apt,52,110.0,17,5.0
Avondale,Entire home/apt,30,117.0,160,4.7
Lincoln Square,Entire home/apt,19,342.0,214,4.79
Belmont Cragin,Private room,53,150.0,8,5.0
Near North Side,Entire home/apt,47,125.0,18,5.0
North Center,Entire home/apt,20,493.0,3,5.0
South Shore,Private room,201,28.0,22,4.41
North Center,Entire home/apt,19,300.0,7,4.86
Lincoln Park,Entire home/apt,6,130.0,46,4.93
Lincoln Park,Entire home/apt,6,136.0,33,4.88
Lincoln Park,Entire home/apt,6,125.0,7,4.86
Lincoln Park,Entire home/apt,6,168.0,65,4.85
Loop,Entire home/apt,52,152.0,201,4.8
Near South Side,Entire home/apt,52,160.0,179,4.8
Near North Side,Entire home/apt,33,712.0,132,4.87
South Shore,Private room,193,28.0,3,5.0
West Town,Entire home/apt,36,916.0,15,5.0
Humboldt Park,Entire home/apt,213,294.0,101,4.92
Irving Park,Entire home/apt,38,90.0,118,4.94
Logan Square,Entire home/apt,80,69.0,112,4.63
Near North Side,Entire home/apt,38,354.0,8,5.0
Lincoln Park,Entire home/apt,6,307.0,92,4.99
Irving Park,Entire home/apt,38,125.0,108,4.77
Armour Square,Entire home/apt,51,343.0,87,4.89
Loop,Entire home/apt,48,93.0,2,3.0
Loop,Entire home/apt,48,97.0,3,4.33
Loop,Entire home/apt,48,95.0,1,3.0
Loop,Entire home/apt,48,109.0,3,4.0
Near North Side,Entire home/apt,34,89.0,1,3.0
Near North Side,Entire home/apt,34,96.0,0,
Lower West Side,Entire home/apt,65,52.0,234,4.86
Avondale,Entire home/apt,40,79.0,267,4.97
Lake View,Entire home/apt,13,156.0,136,4.78
Near North Side,Entire home/apt,43,116.0,0,
Near North Side,Entire home/apt,34,89.0,1,5.0
Near North Side,Entire home/apt,44,199.0,6,5.0
Ashburn,Entire home/apt,20,115.0,112,4.8
West Ridge,Entire home/apt,24,133.0,67,4.99
Loop,Entire home/apt,48,152.0,2,4.0
North Lawndale,Private room,249,39.0,11,5.0
Montclare,Private room,22,75.0,38,4.89
South Shore,Private room,219,50.0,2,5.0
Humboldt Park,Entire home/apt,187,91.0,131,4.98
Logan Square,Entire home/apt,103,121.0,111,4.93
Logan Square,Entire home/apt,34,1000.0,6,3.67
West Town,Entire home/apt,35,125.0,1,5.0
Loop,Hotel room,60,153.0,79,4.59
Irving Park,Entire home/apt,37,390.0,19,4.58
Bridgeport,Entire home/apt,33,125.0,80,4.84
Humboldt Park,Entire home/apt,125,157.0,85,4.96
Irving Park,Private room,35,45.0,130,4.48
Lower West Side,Private room,63,55.0,12,4.75
Lower West Side,Private room,63,38.0,41,4.83
Woodlawn,Private room,139,42.0,12,4.92
Dunning,Private room,29,70.0,18,5.0
Dunning,Private room,25,56.0,66,4.89
Dunning,Private room,29,56.0,65,4.94
Dunning,Private room,26,73.0,82,4.95
North Center,Entire home/apt,24,101.0,136,4.8
Avondale,Entire home/apt,29,387.0,80,4.84
Near West Side,Entire home/apt,67,94.0,29,4.79
Grand Boulevard,Entire home/apt,98,170.0,100,4.93
Greater Grand Crossing,Entire home/apt,226,413.0,62,4.82
North Park,Private room,13,41.0,58,4.88
West Town,Entire home/apt,67,266.0,99,4.99
Chicago Lawn,Entire home/apt,131,112.0,56,4.55
North Park,Private room,11,33.0,63,4.79
Near West Side,Private room,69,59.0,1,5.0
Lower West Side,Entire home/apt,67,132.0,180,4.94
Lower West Side,Private room,68,44.0,0,
Lower West Side,Private room,69,44.0,0,
Logan Square,Entire home/apt,49,13.0,0,
Humboldt Park,Entire home/apt,182,106.0,93,4.7
Lincoln Park,Entire home/apt,21,132.0,85,4.94
Lake View,Entire home/apt,9,80.0,4,4.5
Hyde Park,Entire home/apt,43,175.0,1,5.0
East Garfield Park,Private room,219,44.0,0,
East Garfield Park,Private room,211,59.0,2,4.0
Near West Side,Private room,70,44.0,0,
Douglas,Entire home/apt,74,105.0,102,4.89
East Garfield Park,Private room,216,44.0,0,
West Town,Entire home/apt,64,131.0,126,4.97
Rogers Park,Entire home/apt,34,825.0,32,4.84
Jefferson Park,Entire home/apt,6,275.0,37,4.89
Edgewater,Entire home/apt,21,275.0,76,5.0
Avondale,Entire home/apt,37,107.0,146,4.97
Lake View,Private room,6,70.0,126,4.87
Rogers Park,Entire home/apt,40,125.0,130,4.91
Norwood Park,Private room,1,41.0,62,4.84
Rogers Park,Entire home/apt,31,142.0,46,4.54
West Town,Entire home/apt,34,132.0,122,4.95
Near West Side,Entire home/apt,57,148.0,85,4.66
Woodlawn,Entire home/apt,187,140.0,51,4.82
Near North Side,Entire home/apt,60,217.0,0,
Near North Side,Entire home/apt,60,167.0,0,
Logan Square,Entire home/apt,35,139.0,273,4.98
North Park,Private room,11,34.0,28,4.82
Near West Side,Private room,61,74.0,54,4.59
Near West Side,Entire home/apt,59,140.0,86,4.73
Near West Side,Entire home/apt,60,165.0,108,4.65
Near West Side,Entire home/apt,63,150.0,60,4.7
Near West Side,Entire home/apt,60,140.0,48,4.5
Near West Side,Entire home/apt,121,113.0,14,5.0
Near North Side,Entire home/apt,54,95.0,5,4.8
Near North Side,Entire home/apt,53,95.0,5,4.6
West Garfield Park,Private room,419,45.0,68,4.68
Logan Square,Entire home/apt,41,729.0,63,4.98
West Garfield Park,Private room,429,45.0,150,4.71
Lincoln Park,Entire home/apt,30,117.0,159,4.67
West Town,Entire home/apt,66,55.0,212,4.94
West Garfield Park,Private room,426,45.0,65,4.75
Lower West Side,Entire home/apt,74,99.0,4,5.0
Irving Park,Entire home/apt,24,110.0,88,4.86
Near West Side,Private room,61,88.0,85,4.79
Near North Side,Entire home/apt,34,96.0,2,5.0
Near North Side,Entire home/apt,34,93.0,1,5.0
Near West Side,Private room,62,55.0,64,4.55
Near West Side,Entire home/apt,59,143.0,60,4.65
Near North Side,Entire home/apt,34,96.0,1,4.0
Greater Grand Crossing,Entire home/apt,223,159.0,8,4.88
Lake View,Entire home/apt,8,101.0,27,4.89
West Town,Entire home/apt,38,170.0,7,4.43
Woodlawn,Entire home/apt,167,95.0,35,4.31
Avondale,Entire home/apt,36,128.0,63,4.81
Humboldt Park,Entire home/apt,152,153.0,33,5.0
Logan Square,Entire home/apt,57,300.0,117,4.63
Uptown,Entire home/apt,19,85.0,149,4.87
West Town,Entire home/apt,35,225.0,61,4.77
Near West Side,Private room,61,60.0,68,4.79
West Town,Entire home/apt,35,225.0,0,
Irving Park,Private room,33,49.0,97,4.58
Irving Park,Private room,35,52.0,126,4.69
Irving Park,Private room,32,44.0,108,4.63
West Ridge,Entire home/apt,24,96.0,2,5.0
Uptown,Entire home/apt,20,91.0,118,4.86
Norwood Park,Private room,1,45.0,43,4.88
Avondale,Entire home/apt,29,350.0,0,
