neighbourhood_cleansed,room_type,crime_count,price,number_of_reviews,review_scores_rating 
Uptown,Private room,19,51.0,35,4.63
Lake View,Entire home/apt,11,129.0,516,4.73
Uptown,Entire home/apt,18,282.0,251,4.98
Irving Park,Private room,36,71.0,176,4.94
Lake View,Private room,9,83.0,400,4.97
Logan Square,Entire home/apt,40,250.0,53,4.94
Edgewater,Private room,22,65.0,98,4.97
Grand Boulevard,Entire home/apt,104,109.0,22,4.77
Grand Boulevard,Private room,102,113.0,13,4.85
West Ridge,Shared room,33,18.0,121,4.74
Near North Side,Entire home/apt,43,271.0,96,4.6
Lake View,Private room,19,100.0,36,5.0
Irving Park,Private room,31,55.0,27,4.89
North Center,Entire home/apt,15,199.0,100,4.98
Irving Park,Private room,22,107.0,131,4.64
Uptown,Private room,18,100.0,150,4.95
West Town,Entire home/apt,23,189.0,307,4.61
West Town,Entire home/apt,115,90.0,163,4.78
Uptown,Entire home/apt,16,250.0,77,4.82
West Town,Entire home/apt,36,100.0,28,4.86
Logan Square,Private room,51,53.0,134,4.84
Logan Square,Private room,52,59.0,97,4.87
Near North Side,Entire home/apt,43,120.0,281,4.98
West Town,Private room,39,160.0,69,4.81
Uptown,Hotel room,19,342.0,91,4.93
West Town,Entire home/apt,43,135.0,155,4.76
Uptown,Entire home/apt,19,479.0,38,4.92
Uptown,Private room,19,253.0,38,4.97
Lincoln Park,Private room,29,120.0,339,4.92
West Town,Private room,63,75.0,270,4.73
North Center,Entire home/apt,19,170.0,140,4.89
Grand Boulevard,Entire home/apt,111,100.0,29,4.38
Grand Boulevard,Entire home/apt,94,150.0,24,4.67
Uptown,Entire home/apt,20,999.0,39,4.92
Near North Side,Entire home/apt,50,275.0,387,4.98
West Town,Private room,39,70.0,287,4.87
West Town,Private room,110,144.0,195,4.92
Logan Square,Entire home/apt,23,175.0,7,5.0
West Town,Entire home/apt,48,5000.0,0,
West Town,Private room,48,55.0,177,4.89
West Town,Private room,49,52.0,286,4.91
West Town,Entire home/apt,119,105.0,509,4.9
West Town,Entire home/apt,109,180.0,257,4.92
Lower West Side,Private room,75,50.0,156,4.59
Hyde Park,Private room,73,75.0,237,4.91
West Town,Private room,41,200.0,55,4.55
West Town,Entire home/apt,41,190.0,126,4.85
Logan Square,Entire home/apt,50,169.0,260,4.98
South Shore,Private room,194,22.0,105,4.44
Lincoln Park,Entire home/apt,11,208.0,279,4.87
West Town,Entire home/apt,48,243.0,158,4.97
South Shore,Private room,203,22.0,59,4.56
South Shore,Private room,206,28.0,40,4.85
Uptown,Private room,19,117.0,227,4.95
South Lawndale,Private room,166,45.0,31,4.9
South Lawndale,Private room,184,57.0,29,4.83
South Lawndale,Private room,178,55.0,27,4.89
Lincoln Park,Private room,20,90.0,253,4.56
Grand Boulevard,Private room,100,172.0,37,4.97
West Garfield Park,Entire home/apt,447,58.0,500,4.85
East Garfield Park,Entire home/apt,360,55.0,226,4.66
Lake View,Private room,10,107.0,345,4.9
Hermosa,Private room,34,50.0,67,4.76
Mckinley Park,Entire home/apt,26,52.0,192,4.61
West Ridge,Shared room,33,16.0,189,4.72
North Center,Entire home/apt,14,209.0,57,4.93
Uptown,Private room,19,253.0,6,4.67
Uptown,Private room,19,342.0,20,4.85
Lake View,Entire home/apt,9,164.0,431,4.84
North Center,Private room,18,77.0,569,4.96
Logan Square,Entire home/apt,32,77.0,84,4.96
Portage Park,Entire home/apt,15,59.0,17,4.65
Near West Side,Entire home/apt,61,279.0,45,4.67
North Center,Entire home/apt,17,193.0,40,4.73
Lincoln Square,Entire home/apt,27,119.0,251,4.82
Hegewisch,Entire home/apt,2,129.0,46,4.8
North Center,Private room,15,79.0,226,4.96
West Town,Entire home/apt,155,100.0,69,4.81
Irving Park,Entire home/apt,31,118.0,103,4.73
West Town,Entire home/apt,62,130.0,48,4.92
West Town,Entire home/apt,42,193.0,367,4.91
Portage Park,Entire home/apt,17,99.0,16,4.31
Near North Side,Entire home/apt,54,159.0,196,4.83
Lower West Side,Private room,60,68.0,51,4.78
Avondale,Entire home/apt,38,160.0,311,4.91
West Town,Entire home/apt,46,93.0,629,4.86
Lincoln Park,Entire home/apt,29,200.0,87,4.61
North Center,Entire home/apt,17,175.0,68,4.82
Lincoln Park,Entire home/apt,28,205.0,85,4.79
Lincoln Park,Entire home/apt,28,201.0,81,4.83
North Center,Entire home/apt,17,205.0,52,4.71
West Town,Entire home/apt,46,278.0,238,4.96
Woodlawn,Private room,168,86.0,147,4.93
Logan Square,Entire home/apt,38,88.0,518,4.86
Lincoln Square,Entire home/apt,27,97.0,402,4.97
Lincoln Square,Private room,25,88.0,210,4.98
Near North Side,Entire home/apt,45,95.0,76,4.95
Lincoln Park,Entire home/apt,7,599.0,27,4.85
Logan Square,Entire home/apt,49,125.0,528,4.92
North Center,Entire home/apt,17,189.0,37,4.7
North Center,Entire home/apt,17,185.0,56,4.66
North Center,Entire home/apt,17,200.0,60,4.67
Woodlawn,Entire home/apt,153,159.0,127,4.82
Uptown,Private room,18,125.0,146,4.95
Grand Boulevard,Private room,104,116.0,4,4.75
West Town,Entire home/apt,21,148.0,239,4.7
West Town,Entire home/apt,67,139.0,235,4.7
Grand Boulevard,Private room,108,124.0,15,4.8
North Center,Entire home/apt,14,178.0,56,4.86
Edgewater,Private room,22,76.0,446,4.97
Logan Square,Private room,39,57.0,27,4.81
North Center,Entire home/apt,14,220.0,65,4.75
North Center,Entire home/apt,18,160.0,49,4.8
North Center,Entire home/apt,18,207.0,57,4.61
Lincoln Park,Entire home/apt,6,177.0,84,4.75
Portage Park,Private room,32,72.0,82,4.87
Lincoln Park,Entire home/apt,6,200.0,63,4.73
Lincoln Park,Entire home/apt,6,219.0,103,4.65
Hyde Park,Entire home/apt,52,50.0,4,4.25
West Town,Entire home/apt,45,154.0,260,4.97
Logan Square,Entire home/apt,80,89.0,54,4.89
East Garfield Park,Private room,379,35.0,589,4.73
Avondale,Private room,33,38.0,12,5.0
Irving Park,Entire home/apt,30,150.0,104,4.91
West Town,Entire home/apt,35,100.0,766,4.97
Near North Side,Entire home/apt,46,104.0,120,4.67
Logan Square,Entire home/apt,55,329.0,76,4.99
West Town,Private room,121,87.0,281,4.84
Uptown,Hotel room,19,253.0,44,4.98
West Town,Entire home/apt,40,194.0,222,4.86
West Elsdon,Entire home/apt,55,92.0,41,4.46
Logan Square,Entire home/apt,45,121.0,321,4.9
West Town,Private room,63,47.0,86,4.78
Loop,Entire home/apt,45,175.0,14,4.86
Logan Square,Private room,47,70.0,60,4.95
Rogers Park,Private room,46,62.0,161,4.75
West Ridge,Private room,23,142.0,24,4.96
Irving Park,Entire home/apt,34,55.0,93,4.87
Uptown,Hotel room,19,342.0,35,4.91
Lake View,Entire home/apt,20,120.0,229,4.85
Logan Square,Entire home/apt,33,220.0,116,4.9
West Town,Entire home/apt,38,69.0,331,4.82
Portage Park,Private room,33,181.0,26,4.81
Logan Square,Entire home/apt,44,214.0,146,4.77
Lake View,Entire home/apt,8,314.0,180,4.94
Portage Park,Private room,12,85.0,95,5.0
Portage Park,Private room,12,78.0,49,4.98
North Center,Entire home/apt,15,100.0,454,4.91
Lincoln Park,Private room,7,71.0,60,4.62
Lake View,Entire home/apt,9,136.0,497,4.79
Lake View,Entire home/apt,20,150.0,107,4.78
Portage Park,Entire home/apt,32,256.0,25,4.76
Near West Side,Entire home/apt,70,90.0,13,5.0
Lake View,Entire home/apt,16,137.0,340,4.85
Edgewater,Entire home/apt,26,72.0,407,4.95
West Town,Private room,64,91.0,76,4.92
Avondale,Private room,34,38.0,14,4.86
West Town,Entire home/apt,37,546.0,16,5.0
Near West Side,Entire home/apt,48,618.0,236,4.99
Armour Square,Private room,45,60.0,316,4.91
West Town,Entire home/apt,68,92.0,575,4.8
Irving Park,Private room,32,51.0,84,4.79
Irving Park,Shared room,31,40.0,61,4.8
Jefferson Park,Entire home/apt,5,55.0,12,4.92
Ashburn,Entire home/apt,27,129.0,148,4.95
Rogers Park,Shared room,40,58.0,8,5.0
Lake View,Entire home/apt,10,67.0,214,4.75
West Town,Entire home/apt,41,632.0,283,4.81
Uptown,Entire home/apt,20,237.0,71,4.94
West Town,Private room,117,73.0,162,4.81
Douglas,Entire home/apt,91,120.0,243,4.77
Near North Side,Entire home/apt,54,69.0,18,4.94
Lake View,Entire home/apt,10,270.0,195,4.55
Greater Grand Crossing,Private room,206,30.0,51,4.88
Greater Grand Crossing,Private room,206,37.0,69,4.68
North Lawndale,Entire home/apt,282,85.0,194,4.91
Lincoln Square,Private room,14,60.0,250,4.89
West Town,Private room,114,73.0,210,4.9
Near North Side,Private room,53,105.0,137,4.71
Rogers Park,Shared room,42,56.0,4,4.25
Lake View,Private room,20,115.0,154,4.94
Near North Side,Entire home/apt,52,179.0,18,4.78
Irving Park,Entire home/apt,30,175.0,19,4.79
Lake View,Private room,20,115.0,170,4.95
West Town,Entire home/apt,52,241.0,212,4.94
Near West Side,Entire home/apt,71,126.0,828,4.99
Logan Square,Entire home/apt,23,133.0,177,4.98
West Town,Private room,35,81.0,106,4.89
West Town,Entire home/apt,41,47.0,277,4.75
Lake View,Entire home/apt,8,249.0,43,4.98
West Ridge,Private room,24,74.0,268,4.97
Portage Park,Entire home/apt,31,295.0,17,4.76
West Town,Private room,107,164.0,351,4.92
Near North Side,Entire home/apt,33,240.0,30,4.47
Lake View,Private room,6,75.0,64,4.88
Norwood Park,Entire home/apt,1,99.0,99,4.84
Lincoln Square,Private room,25,80.0,1,5.0
Lake View,Private room,8,139.0,214,4.97
Garfield Ridge,Private room,16,48.0,82,4.8
Lower West Side,Private room,77,68.0,344,4.91
West Town,Entire home/apt,40,360.0,354,4.93
Lower West Side,Entire home/apt,77,97.0,196,4.62
Lake View,Entire home/apt,16,184.0,422,4.84
Austin,Entire home/apt,51,168.0,182,4.95
Logan Square,Entire home/apt,62,115.0,131,4.81
Lake View,Entire home/apt,6,299.0,139,4.96
Lake View,Entire home/apt,16,143.0,337,4.82
North Center,Entire home/apt,17,112.0,92,4.99
Avondale,Entire home/apt,34,164.0,164,4.98
Kenwood,Entire home/apt,58,304.0,61,4.8
Near North Side,Entire home/apt,54,175.0,2,5.0
Logan Square,Private room,44,89.0,127,4.97
Hermosa,Entire home/apt,29,70.0,103,4.79
Uptown,Private room,19,999.0,8,4.88
Logan Square,Entire home/apt,50,139.0,120,4.88
Rogers Park,Entire home/apt,36,197.0,132,4.98
Avondale,Private room,36,40.0,15,4.5
East Garfield Park,Private room,379,33.0,497,4.76
Garfield Ridge,Private room,16,37.0,72,4.85
North Lawndale,Entire home/apt,201,59.0,182,4.79
Near West Side,Private room,154,50.0,41,4.73
Irving Park,Entire home/apt,32,109.0,191,4.83
Near West Side,Private room,150,59.0,37,4.95
Near North Side,Private room,66,100.0,928,4.89
Woodlawn,Private room,135,62.0,66,4.59
Woodlawn,Private room,142,69.0,81,4.67
Woodlawn,Private room,140,69.0,93,4.52
East Garfield Park,Private room,379,34.0,408,4.76
Woodlawn,Private room,136,44.0,67,4.46
Woodlawn,Private room,144,38.0,67,4.66
Irving Park,Entire home/apt,35,69.0,284,4.79
Woodlawn,Entire home/apt,114,111.0,207,4.61
Edgewater,Entire home/apt,22,82.0,378,4.84
Lake View,Entire home/apt,20,125.0,27,4.63
West Town,Entire home/apt,40,126.0,126,4.91
East Garfield Park,Private room,379,32.0,495,4.79
West Ridge,Private room,24,74.0,149,4.99
West Town,Entire home/apt,41,59.0,295,4.63
West Town,Entire home/apt,41,81.0,229,4.72
Near North Side,Entire home/apt,39,170.0,1,5.0
Avondale,Entire home/apt,30,99.0,368,4.95
South Shore,Entire home/apt,208,161.0,65,4.83
West Town,Private room,48,70.0,98,4.85
Near West Side,Private room,62,114.0,137,4.83
Lincoln Square,Entire home/apt,19,64.0,97,4.71
Logan Square,Entire home/apt,41,160.0,0,
Lincoln Park,Private room,6,145.0,374,4.82
Lower West Side,Entire home/apt,76,300.0,209,4.42
Lake View,Entire home/apt,12,194.0,78,4.68
Grand Boulevard,Entire home/apt,81,85.0,40,4.53
East Garfield Park,Entire home/apt,361,70.0,326,4.61
East Garfield Park,Private room,379,32.0,529,4.76
Douglas,Entire home/apt,59,1500.0,38,4.92
Irving Park,Entire home/apt,34,105.0,278,4.96
Kenwood,Entire home/apt,63,365.0,56,4.8
Lake View,Private room,9,165.0,71,4.97
Humboldt Park,Entire home/apt,140,76.0,32,4.97
Near West Side,Private room,150,55.0,33,4.82
Lower West Side,Entire home/apt,57,130.0,471,4.82
Loop,Entire home/apt,48,170.0,1,4.0
Armour Square,Private room,60,70.0,175,4.94
Lake View,Private room,9,119.0,66,4.64
Hyde Park,Entire home/apt,92,200.0,43,4.95
Portage Park,Entire home/apt,20,145.0,169,4.86
West Town,Entire home/apt,40,184.0,308,4.76
Lincoln Park,Entire home/apt,18,149.0,475,4.95
North Center,Entire home/apt,14,213.0,57,4.82
Lake View,Entire home/apt,18,85.0,225,4.93
West Town,Entire home/apt,62,151.0,53,4.96
North Center,Entire home/apt,13,155.0,226,4.73
Portage Park,Entire home/apt,22,390.0,74,4.66
West Town,Entire home/apt,47,555.0,0,
Hyde Park,Entire home/apt,71,355.0,30,4.87
Armour Square,Private room,42,69.0,210,4.44
Near West Side,Private room,150,54.0,39,4.85
Near West Side,Private room,150,55.0,42,4.93
Irving Park,Entire home/apt,36,349.0,91,4.68
Armour Square,Private room,47,69.0,222,4.53
Uptown,Private room,20,50.0,129,4.85
Edgewater,Entire home/apt,19,105.0,327,4.89
Edgewater,Private room,14,134.0,249,4.95
Near North Side,Entire home/apt,54,247.0,16,5.0
Logan Square,Entire home/apt,63,110.0,57,4.63
Lincoln Square,Entire home/apt,14,329.0,103,4.97
Irving Park,Entire home/apt,34,165.0,17,4.71
Near South Side,Entire home/apt,52,210.0,83,4.87
Hyde Park,Entire home/apt,90,95.0,243,4.82
Lake View,Entire home/apt,9,164.0,94,4.97
Lake View,Entire home/apt,9,162.0,189,4.93
Lincoln Park,Entire home/apt,27,78.0,213,4.93
Armour Square,Private room,42,69.0,231,4.53
Near North Side,Entire home/apt,47,69.0,607,4.83
West Town,Private room,40,79.0,254,4.89
Lincoln Park,Entire home/apt,7,388.0,34,5.0
Rogers Park,Private room,29,35.0,403,4.82
West Town,Entire home/apt,40,69.0,553,4.69
Belmont Cragin,Entire home/apt,33,364.0,14,4.71
Lower West Side,Private room,66,27.0,36,4.81
