latitude,longitude,neighbourhood_cleansed,property_type,room_type,review_scores_rating,accommodates,bedrooms,beds,price,rating_bucket
41.90634,-87.66666,West Town,Private room in rental unit,Private room,4.74,2,1.0,1.0,63.0,4.7-4.8
41.85555,-87.7021,North Lawndale,Entire home,Entire home/apt,4.86,2,1.0,1.0,120.0,4.8-4.9
41.77878179004491,-87.60174674700409,Woodlawn,Entire rental unit,Entire home/apt,5.0,5,3.0,4.0,180.0,4.9-5.0
41.78701821256535,-87.66277430093047,West Englewood,Private room in home,Private room,5.0,1,1.0,1.0,22.0,4.9-5.0
41.90319177098768,-87.63392028445983,Near North Side,Entire rental unit,Entire home/apt,,4,1.0,1.0,103.0,No rating
41.96956637871648,-87.78071563429174,Jefferson Park,Entire home,Entire home/apt,4.9,2,1.0,1.0,70.0,4.8-4.9
41.69471,-87.66452,Morgan Park,Entire home,Entire home/apt,4.8,12,4.0,4.0,180.0,4.7-4.8
41.92409,-87.71307,Logan Square,Entire home,Entire home/apt,5.0,7,3.0,4.0,386.0,4.9-5.0
41.883,-87.62708,Loop,Private room in rental unit,Private room,5.0,1,3.0,3.0,85.0,4.9-5.0
41.87852,-87.66698,Near West Side,Entire home,Entire home/apt,5.0,6,2.0,2.0,299.0,4.9-5.0
41.95694,-87.66865,Lake View,Entire home,Entire home/apt,4.98,16,6.0,10.0,485.0,4.9-5.0
42.010077060238,-87.67903593160544,Rogers Park,Entire rental unit,Entire home/apt,4.97,10,4.0,4.0,204.0,4.9-5.0
41.892833821556565,-87.67774892418184,West Town,Entire rental unit,Entire home/apt,4.93,4,2.0,3.0,89.0,4.9-5.0
41.91038,-87.63206,Near North Side,Entire rental unit,Entire home/apt,3.83,4,1.0,1.0,219.0,3.5-4.0
41.89617459999999,-87.678974,West Town,Entire rental unit,Entire home/apt,4.81,10,4.0,5.0,233.0,4.8-4.9
41.75196190851701,-87.60710820393821,Greater Grand Crossing,Entire rental unit,Entire home/apt,4.92,6,2.0,2.0,182.0,4.9-5.0
41.89571507267535,-87.63161850059625,Near North Side,Entire rental unit,Entire home/apt,,4,1.0,2.0,172.0,No rating
41.792206793302356,-87.65266023911597,Englewood,Entire rental unit,Entire home/apt,3.0,2,2.0,2.0,79.0,2.0-3.0
41.7258881,-87.60542699999999,Chatham,Private room in home,Private room,,1,1.0,3.0,400.0,No rating
41.9454,-87.73423,Irving Park,Entire home,Entire home/apt,4.83,10,5.0,5.0,248.0,4.8-4.9
41.9080259,-87.62638960000001,Near North Side,Entire rental unit,Entire home/apt,,2,1.0,1.0,105.0,No rating
41.8822197,-87.69497020000001,East Garfield Park,Entire rental unit,Entire home/apt,4.95,4,2.0,2.0,238.0,4.9-5.0
41.8561,-87.62585,Near South Side,Entire rental unit,Entire home/apt,4.45,8,3.0,4.0,125.0,4.25-4.5
