,id,case_number,date,block,iucr,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,x_coordinate,y_coordinate,year,updated_on,latitude,longitude,location
20,14034020,JJ495595,2025-11-19T23:51:00.000,074XX S EGGLESTON AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,732,7,6,69,08B,1174582.0,1855595.0,2025,2025-11-27T15:41:26.000,41.759144852,-87.635727727,"
,  
(41.759144852, -87.635727727)"
21,14034136,JJ495698,2025-11-19T23:50:00.000,084XX S THROOP ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,True,False,613,6,17,71,07,1169132.0,1848789.0,2025,2025-11-27T15:41:26.000,41.740587805,-87.655898115,"
,  
(41.740587805, -87.655898115)"
22,14034016,JJ495603,2025-11-19T23:46:00.000,002XX W 71ST ST,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,VEHICLE NON-COMMERCIAL,True,False,731,7,6,69,15,1176021.0,1857896.0,2025,2025-11-27T15:41:26.000,41.765426918,-87.630384966,"
,  
(41.765426918, -87.630384966)"
23,14035542,JJ497513,2025-11-19T23:45:00.000,048XX W HIRSCH ST,0810,THEFT,OVER $500,SIDEWALK,False,False,2533,25,37,25,06,1143877.0,1908875.0,2025,2025-11-27T15:41:26.000,41.905981056,-87.746928603,"
,  
(41.905981056, -87.746928603)"
24,14034000,JJ495604,2025-11-19T23:45:00.000,002XX E IDA B WELLS DR,2896,PUBLIC PEACE VIOLATION,TIRE DEFLATION DEVICE DEPLOYMENT,STREET,False,False,114,1,42,32,24,1178149.0,1898123.0,2025,2025-11-27T15:41:26.000,41.875765135,-87.621363476,"
,  
(41.875765135, -87.621363476)"
25,14034002,JJ495601,2025-11-19T23:45:00.000,041XX S CALIFORNIA AVE,4650,OTHER OFFENSE,SEX OFFENDER - FAIL TO REGISTER,STREET,True,False,921,9,12,58,26,1158380.0,1877086.0,2025,2025-11-27T15:41:26.000,41.818464337,-87.694522416,"
,  
(41.818464337, -87.694522416)"
26,14034099,JJ495609,2025-11-19T23:40:00.000,082XX S STATE ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,GAS STATION,False,False,631,6,6,44,07,1177732.0,1850157.0,2025,2025-11-27T15:41:26.000,41.744151668,-87.62434741,"
,  
(41.744151668, -87.62434741)"
27,14034064,JJ495582,2025-11-19T23:33:00.000,006XX N HOMAN AVE,0820,THEFT,$500 AND UNDER,STREET,False,False,1121,11,27,23,06,1153597.0,1904088.0,2025,2025-11-27T15:41:26.000,41.892657188,-87.711350732,"
,  
(41.892657188, -87.711350732)"
28,14034001,JJ495606,2025-11-19T23:32:00.000,075XX S ESSEX AVE,141A,WEAPONS VIOLATION,UNLAWFUL USE - HANDGUN,ALLEY,False,False,421,4,7,43,15,1194172.0,1855503.0,2025,2025-11-27T15:41:26.000,41.758434033,-87.563935345,"
,  
(41.758434033, -87.563935345)"
29,14034527,JJ496314,2025-11-19T23:30:00.000,023XX N LEAVITT ST,0620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE - GARAGE,False,False,1432,14,32,22,05,1161313.0,1915243.0,2025,2025-11-27T15:41:26.000,41.923110365,-87.682702159,"
,  
(41.923110365, -87.682702159)"
30,14034061,JJ495565,2025-11-19T23:20:00.000,003XX S SEELEY AVE,1360,CRIMINAL TRESPASS,TO VEHICLE,STREET,False,False,1225,12,27,28,26,1162787.0,1898470.0,2025,2025-11-27T15:41:26.000,41.87705316,-87.677757131,"
,  
(41.87705316, -87.677757131)"
31,14034006,JJ495574,2025-11-19T23:15:00.000,012XX W 73RD PL,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,RESIDENCE - YARD (FRONT / BACK),True,False,734,7,17,67,15,1169184.0,1856040.0,2025,2025-11-27T15:41:26.000,41.760484408,-87.655498294,"
,  
(41.760484408, -87.655498294)"
