latitude,longitude,property_type,room_type,review_scores_rating,accommodates,bedrooms,beds,price
41.80666629922588,-87.6724455031264,Private room in rental unit,Private room,5.0,3,1.0,1.0,26.0
41.808308859537675,-87.67050024781857,Private room in rental unit,Private room,4.92,3,1.0,1.0,21.0
41.80682600814356,-87.67151370978269,Private room in rental unit,Private room,4.82,8,1.0,3.0,23.0
41.9143421759989,-87.67194023517986,Entire rental unit,Entire home/apt,,4,2.0,2.0,160.0
41.90966810142246,-87.67126860173063,Entire rental unit,Entire home/apt,4.82,6,2.0,3.0,185.0
41.92625824796594,-87.64351801366016,Entire condo,Entire home/apt,5.0,5,2.0,2.0,115.0
41.721403713459935,-87.63864125704198,Entire home,Entire home/apt,5.0,6,3.0,3.0,80.0
41.77344684569791,-87.74169936211167,Entire rental unit,Entire home/apt,,2,1.0,1.0,182.0
41.88463,-87.64423,Entire rental unit,Entire home/apt,,2,1.0,1.0,169.0
41.89052,-87.63596,Entire rental unit,Entire home/apt,,2,1.0,1.0,133.0
41.906347152167754,-87.69062352741163,Entire home,Entire home/apt,5.0,3,1.0,2.0,130.0
41.967067757723434,-87.76674193794892,Entire rental unit,Entire home/apt,4.47,2,0.0,1.0,67.0
41.98831,-87.69357,Entire rental unit,Entire home/apt,3.75,2,1.0,1.0,69.0
41.842609653251515,-87.63209112487964,Entire rental unit,Entire home/apt,4.85,10,4.0,4.0,154.0
41.9839704,-87.655453,Entire rental unit,Entire home/apt,,2,1.0,1.0,89.0
41.8702355679041,-87.68583044913575,Private room in rental unit,Private room,5.0,2,1.0,1.0,52.0
41.90474087351037,-87.75624053494019,Entire home,Entire home/apt,5.0,2,1.0,1.0,120.0
41.96034600000001,-87.68838919999999,Entire rental unit,Entire home/apt,4.9,6,3.0,4.0,157.0
41.88517571627106,-87.65707625204506,Entire rental unit,Entire home/apt,4.88,4,2.0,2.0,163.0
41.7755,-87.59761,Entire rental unit,Entire home/apt,4.79,4,2.0,2.0,140.0
41.85041,-87.63165,Entire rental unit,Entire home/apt,5.0,6,3.0,3.0,200.0
41.83253894358012,-87.67081274066437,Private room in home,Private room,3.83,2,1.0,1.0,34.0
41.92114583644943,-87.69423278532656,Entire rental unit,Entire home/apt,4.39,3,1.0,1.0,63.0
41.88171429424044,-87.6479524012492,Entire rental unit,Entire home/apt,5.0,6,3.0,3.0,511.0
41.93109,-87.68631,Entire rental unit,Entire home/apt,5.0,4,2.0,0.0,95.0
41.912854436504325,-87.65140803791695,Entire rental unit,Entire home/apt,4.89,4,2.0,2.0,375.0
41.775118465533225,-87.59369021166117,Entire rental unit,Entire home/apt,5.0,3,2.0,2.0,115.0
41.80129,-87.59329,Entire rental unit,Entire home/apt,4.25,2,1.0,1.0,60.0
41.799441933188945,-87.59122721406412,Entire rental unit,Entire home/apt,3.71,2,1.0,1.0,56.0
41.88163,-87.69517,Entire rental unit,Entire home/apt,4.6,4,2.0,2.0,101.0
41.99989,-87.68278,Entire rental unit,Entire home/apt,,4,1.0,1.0,175.0
41.89081,-87.66279,Entire condo,Entire home/apt,4.88,4,2.0,2.0,63.0
41.89081,-87.66279,Entire condo,Entire home/apt,4.96,4,2.0,2.0,69.0
41.89053,-87.67997,Entire condo,Entire home/apt,4.86,4,2.0,2.0,73.0
41.81319,-87.62038,Entire condo,Entire home/apt,,6,3.0,4.0,300.0
41.89336,-87.69281,Entire rental unit,Entire home/apt,,4,2.0,2.0,97.0
41.895424,-87.666423,Entire condo,Entire home/apt,4.82,5,2.0,2.0,92.0
41.94400820856835,-87.81373114912853,Entire home,Entire home/apt,4.71,8,4.0,5.0,260.0
41.8865939,-87.63140659999999,Entire serviced apartment,Entire home/apt,,3,1.0,1.0,129.0
41.8729842,-87.62717959999999,Private room in rental unit,Private room,4.92,2,0.0,1.0,160.0
41.933318282760474,-87.71091761388489,Entire condo,Entire home/apt,5.0,8,3.0,4.0,308.0
41.83128828835136,-87.6729442443786,Private room in home,Private room,3.4,1,1.0,1.0,29.0
41.8992459440175,-87.75492863350294,Entire rental unit,Entire home/apt,4.75,4,2.0,2.0,150.0
41.9443229,-87.7239978,Entire rental unit,Entire home/apt,5.0,5,1.0,1.0,90.0
41.95035,-87.65819,Private room in bed and breakfast,Private room,4.0,2,1.0,0.0,99.0
41.94934,-87.65818,Private room in bed and breakfast,Private room,4.93,2,1.0,0.0,99.0
41.94863862619235,-87.65806163511259,Private room in bed and breakfast,Private room,4.69,2,1.0,0.0,99.0
41.7760066,-87.7632402,Entire rental unit,Entire home/apt,3.0,6,3.0,3.0,48.0
41.88645,-87.62596,Room in hotel,Private room,,2,1.0,,198.0
41.88645,-87.625961,Room in hotel,Private room,,2,1.0,,178.0
41.88645,-87.625961,Room in hotel,Private room,,2,1.0,,178.0
41.84831,-87.73419,Entire rental unit,Entire home/apt,4.48,6,1.0,3.0,42.0
41.90183676627954,-87.634259176903,Entire rental unit,Entire home/apt,5.0,2,0.0,1.0,128.0
41.903118845550615,-87.6327795368991,Entire rental unit,Entire home/apt,4.0,2,0.0,1.0,88.0
41.90277410874015,-87.63249761702843,Entire rental unit,Entire home/apt,,2,0.0,1.0,96.0
41.89622,-87.63918,Entire rental unit,Entire home/apt,5.0,8,3.0,4.0,337.0
41.76954840000001,-87.58717519999999,Entire home,Entire home/apt,,5,3.0,4.0,90.0
41.857199188948734,-87.651153579943,Entire rental unit,Entire home/apt,5.0,4,2.0,2.0,70.0
41.83263,-87.67105,Private room in home,Private room,3.33,2,1.0,1.0,29.0
